FC ,OT ,JC ,E  ,A  ,D  ,I  ,FJ ,IE ,F  ,FA ,B  ,AC , C ,IC ,AH , E ,JF ,EF ,duration,target,age_lastyear,GENDER,HHSIZE,num_kids_lastyear,novehicle,work_income,nonwork_income,total_income
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,39.0,F,4.0,2.0,0,77971.66,0.0,77971.66
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,43.0,F,3.0,1.0,0,67594.8,0.0,67594.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,39.0,F,3.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,3.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,52.0,F,2.0,1.0,0,0.0,5628.0,5628.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,31.0,F,4.0,3.0,0,0.0,13518.960000000001,13518.960000000001
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,,,4.0,3.0,0,84662.23999999999,0.0,84662.23999999999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,31.0,F,3.0,2.0,0,28171.0,0.0,28171.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,62.0,F,1.0,0.0,0,0.0,17232.0,17232.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,29.0,F,5.0,3.0,0,68807.7,0.0,68807.7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,35.0,F,3.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,42.0,F,2.0,1.0,0,52243.880000000005,71425.12,123669.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,36.0,F,3.0,2.0,0,85620.08,0.0,85620.08
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,55.0,F,1.0,0.0,0,0.0,11580.0,11580.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,34.0,F,3.0,2.0,0,0.0,2400.0,2400.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,31.0,F,3.0,2.0,0,0.0,6708.0,6708.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,44.0,F,4.0,1.0,0,16901.559999999998,9624.0,26525.559999999998
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,47.0,F,4.0,2.0,0,89450.40000000001,0.0,89450.40000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,49.0,M,3.0,1.0,0,67594.8,0.0,67594.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,42.0,F,4.0,2.0,0,34286.98,37177.4,71464.38
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,35.0,F,4.0,3.0,0,0.0,30931.600000000002,30931.600000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,33.0,F,2.0,1.0,0,0.0,10404.0,10404.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,1,42.0,F,3.0,1.0,0,0.0,6996.0,6996.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,,,4.0,2.0,0,0.0,11484.0,11484.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,23.0,F,3.0,1.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,27.0,F,4.0,2.0,0,0.0,67594.8,67594.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,38.0,F,4.0,2.0,0,35179.82,0.0,35179.82
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,,,4.0,3.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,33.0,F,2.0,1.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,41.0,F,6.0,3.0,0,0.0,41683.72,41683.72
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,27.0,F,2.0,1.0,0,22531.600000000002,0.0,22531.600000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,42.0,F,4.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,31.0,F,3.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,39.0,F,5.0,3.0,0,0.0,6732.0,6732.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,1,46.0,F,4.0,1.0,0,87873.23999999999,0.0,87873.23999999999
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,1.0,0.0,0,0.0,19188.0,19188.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,6.0,5.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,73.0,M,2.0,0.0,0,0.0,24864.0,24864.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,57.0,M,1.0,0.0,0,0.0,33346.56,33346.56
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,62.0,M,1.0,0.0,0,0.0,13176.0,13176.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,53.0,F,3.0,0.0,0,37356.8,22536.8,59893.600000000006
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,,,3.0,1.0,0,0.0,25980.0,25980.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,79.0,F,1.0,0.0,0,0.0,5772.0,5772.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,46.0,M,1.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,40.0,F,2.0,1.0,0,81676.92,12617.800000000001,94294.72
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,35.0,F,5.0,3.0,0,0.0,15612.0,15612.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.0,0,,,2.0,1.0,0,67594.8,0.0,67594.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,35.0,F,2.0,1.0,0,34944.0,52498.68,87442.68
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,,3.0,2.0,0,0.0,10632.0,10632.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,53.0,F,2.0,1.0,0,0.0,11616.0,11616.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,36.0,F,7.0,6.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,36.0,F,5.0,3.0,0,78860.59999999999,0.0,78860.59999999999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,27.0,M,4.0,2.0,0,50707.799999999996,0.0,50707.799999999996
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,69.0,M,1.0,0.0,0,0.0,6312.0,6312.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,50.0,F,3.0,0.0,0,45036.16,0.0,45036.16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,,,5.0,3.0,0,90126.40000000001,0.0,90126.40000000001
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,28.0,F,2.0,1.0,0,60849.36,0.0,60849.36
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,27.0,F,4.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,37.0,F,2.0,1.0,0,0.0,130232.95999999999,130232.95999999999
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,39.0,F,4.0,1.0,0,0.0,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,38.0,F,4.0,1.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,1,33.0,F,3.0,2.0,0,92942.72,13518.960000000001,106461.68000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,70.0,M,4.0,1.0,0,0.0,17868.0,17868.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,56.0,F,1.0,0.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,56.0,F,2.0,0.0,0,51143.299999999996,0.0,51143.299999999996
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,36.0,F,4.0,3.0,0,45063.200000000004,0.0,45063.200000000004
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,51.0,M,3.0,2.0,0,0.0,17556.0,17556.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,39.0,F,5.0,4.0,0,67594.8,14400.0,81994.8
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,38.0,F,4.0,1.0,0,27495.0,7620.0,35115.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,48.0,F,1.0,0.0,0,46762.04,0.0,46762.04
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,79.0,F,1.0,0.0,0,0.0,10416.0,10416.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,35.0,F,3.0,2.0,0,0.0,0.0,0.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,1,38.0,F,2.0,1.0,0,45063.200000000004,0.0,45063.200000000004
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1,43.0,F,4.0,3.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,33.0,F,4.0,3.0,0,27471.339999999997,0.0,27471.339999999997
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,3.0,2.0,0,78860.59999999999,0.0,78860.59999999999
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,44.0,F,5.0,2.0,0,95533.88,0.0,95533.88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,3.0,2.0,0,3474.96,600.0,4074.96
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,5.0,2.0,0,90126.40000000001,0.0,90126.40000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,,,5.0,3.0,0,0.0,22531.600000000002,22531.600000000002
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,35.0,F,6.0,4.0,0,63891.880000000005,10728.0,74619.88
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1,27.0,F,2.0,1.0,0,78042.64,0.0,78042.64
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,56.0,F,1.0,0.0,0,0.0,1800.0,1800.0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,,,2.0,1.0,0,0.0,3864.0,3864.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,26.0,F,2.0,1.0,0,16902.6,0.0,16902.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,27.0,F,4.0,3.0,0,0.0,0.0,0.0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,31.0,F,4.0,2.0,0,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,35.0,F,5.0,3.0,0,90126.40000000001,0.0,90126.40000000001
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,44.0,F,4.0,2.0,0,50707.799999999996,0.0,50707.799999999996
